username,anime_name,anime_link,recommended,rating_user
lenoftroy,Wotaku ni Koi wa Muzukashii,https://myanimelist.net/anime/35968/Wotaku_ni_Koi_wa_Muzukashii,Not Recommended,4
fruitylea,Death Note,https://myanimelist.net/anime/1535/Death_Note,Not Recommended,4
ilyos92,Akame ga Kill!,https://myanimelist.net/anime/22199/Akame_ga_Kill,Recommended,9
aaoi_,Dorohedoro,https://myanimelist.net/anime/38668/Dorohedoro,Recommended,8
NicoRobinnn11,Domestic na Kanojo,https://myanimelist.net/anime/37982/Domestic_na_Kanojo,Recommended,10
delsix,Steins;Gate 0,https://myanimelist.net/anime/30484/Steins_Gate_0,Recommended,10
rotakuguy,Naruto,https://myanimelist.net/anime/20/Naruto,Recommended,10
jus7aguy,Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,https://myanimelist.net/anime/46985/Shinka_no_Mi__Shiranai_Uchi_ni_Kachigumi_Jinsei,Recommended,7
rotakuguy,Bleach,https://myanimelist.net/anime/269/Bleach,Not Recommended,5
Tablekun,SSSS.Gridman,https://myanimelist.net/anime/35847/SSSSGridman,Not Recommended,6
ArsyadDono,Skip to Loafer,https://myanimelist.net/anime/50416/Skip_to_Loafer,Recommended,10
anime_sky65,Netsuzou TRap,https://myanimelist.net/anime/34383/Netsuzou_TRap,Not Recommended,2
Cayusashi,Yuu☆Yuu☆Hakusho,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho,Recommended,8
UrOpinionsRGarb,Jujutsu Kaisen,https://myanimelist.net/anime/40748/Jujutsu_Kaisen,Not Recommended,1
EmperorOfMankind,Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta.,https://myanimelist.net/anime/51128/Noumin_Kanren_no_Skill_bakka_Agetetara_Nazeka_Tsuyoku_Natta,Not Recommended,2
ClannadLover9,86,https://myanimelist.net/anime/41457/86,Not Recommended,4
CrowTheCryptid,Fantasy Bishoujo Juniku Ojisan to,https://myanimelist.net/anime/48997/Fantasy_Bishoujo_Juniku_Ojisan_to,Recommended,10
HoodedOctoGamer,Marulk-chan no Nichijou,https://myanimelist.net/anime/40897/Marulk-chan_no_Nichijou,Recommended,8
IamMalexX,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,Recommended,10
IamMalexX,Spy x Family,https://myanimelist.net/anime/50265/Spy_x_Family,Recommended,9
oozePOP,Kidou Senshi Gundam I,https://myanimelist.net/anime/1090/Kidou_Senshi_Gundam_I,Recommended,8
literaturenerd,Hoozuki no Reitetsu,https://myanimelist.net/anime/20431/Hoozuki_no_Reitetsu,Recommended,8
The_Uzumaki_A,Beelzebub,https://myanimelist.net/anime/9513/Beelzebub,Recommended,6
Zinnia17,Blue Period,https://myanimelist.net/anime/46352/Blue_Period,Recommended,9
